sagat_experimental_responses
Duration (in seconds),tp_First Click,tp_Last Click,tp_Page Submit,tp_Click Count,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,tcp1_First Click,tcp1_Last Click,tcp1_Page Submit,tcp1_Click Count,cp13_1,cp13_2,cp13_3,cp13_4,cp13_5,cp13_6,tcn1_First Click,tcn1_Last Click,tcn1_Page Submit,tcn1_Click Count,Q140_1,Q140_2,Q140_3,Q140_4,Q140_5,Q140_6,tap1_First Click,tap1_Last Click,tap1_Page Submit,tap1_Click Count,Q141_1,Q141_2,Q141_3,Q141_4,Q141_5,Q141_6,tan1_First Click,tan1_Last Click,tan1_Page Submit,tan1_Click Count,Q142_1,Q142_2,Q142_3,Q142_4,Q142_5,Q142_6,tbp1_First Click,tbp1_Last Click,tbp1_Page Submit,tbp1_Click Count,Q143_1,Q143_2,Q143_3,Q143_4,Q143_5,Q143_6,tbn1_First Click,tbn1_Last Click,tbn1_Page Submit,tbn1_Click Count,Q144_1,Q144_2,Q144_3,Q144_4,Q144_5,Q144_6,tac1_First Click,tac1_Last Click,tac1_Page Submit,tac1_Click Count,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,tcp2_First Click,tcp2_Last Click,tcp2_Page Submit,tcp2_Click Count,Q147_1,Q147_2,Q147_3,Q147_4,Q147_5,Q147_6,tcn2_First Click,tcn2_Last Click,tcn2_Page Submit,tcn2_Click Count,Q148_1,Q148_2,Q148_3,Q148_4,Q148_5,Q148_6,tap2_First Click,tap2_Last Click,tap2_Page Submit,tap2_Click Count,Q149_1,Q149_2,Q149_3,Q149_4,Q149_5,Q149_6,tan2_First Click,tan2_Last Click,tan2_Page Submit,tan2_Click Count,Q150_1,Q150_2,Q150_3,Q150_4,Q150_5,Q150_6,tbp2_First Click,tbp2_Last Click,tbp2_Page Submit,tbp2_Click Count,Q151_1,Q151_2,Q151_3,Q151_4,Q151_5,Q151_6,tbn2_First Click,tbn2_Last Click,tbn2_Page Submit,tbn2_Click Count,Q152_1,Q152_2,Q152_3,Q152_4,Q152_5,Q152_6
612,0,0,23.065,0,1,1,1,1,1,1,0,0,29.526,0,1,1,1,1,2,2,0,0,10.879,0,2,2,2,2,1,1,0,0,24.934,0,1,1,1,1,1,2,0,0,22.068,0,1,1,1,2,1,1,0,0,33.355,0,1,2,2,2,1,1,0,0,21.872,0,2,2,2,2,1,1,0,0,21.371,0,1,1,1,2,1,2,0,0,57.614,0,1,1,1,1,1,2,0,0,11.161,0,2,2,2,2,1,2,0,0,23.146,0,1,1,2,2,1,1,0,0,19.884,0,1,1,1,2,1,1,0,0,22.065,0,1,2,2,2,2,1,0,0,15.263,0,2,2,2,2,1,1
934,0,0,19.277,0,1,1,2,2,1,1,0,0,27.69,0,2,2,1,1,2,1,0,0,20.023,0,2,2,2,2,1,2,0,0,23.641,0,2,2,1,2,1,2,0,0,31.474,0,1,1,1,2,1,2,0,0,34.021,0,1,2,2,2,2,1,0,0,24.251,0,2,2,2,2,1,1,0,0,31.371,0,1,1,1,2,1,2,0,0,80.607,0,1,1,1,1,1,1,0,0,22.984,0,2,2,2,2,1,2,0,0,34.289,0,1,1,1,2,1,2,0,0,32.133,0,1,1,1,2,1,1,0,0,31.189,0,1,2,2,2,1,1,0,0,26.971,0,1,2,2,2,1,1
936,0,0,21.247,0,1,1,2,2,1,2,0,0,31.103,0,2,2,1,1,2,1,0,0,22.87,0,2,2,2,2,1,1,0,0,27.031,0,2,1,1,2,1,1,0,0,50.615,0,1,1,1,2,1,1,0,0,36.064,0,1,2,2,2,1,2,6.563,6.563,26.58,1,2,2,2,2,1,1,0,0,34.389,0,1,1,1,2,1,2,0,0,66.072,0,1,1,1,1,2,1,0,0,31.082,0,2,2,2,2,1,1,0,0,26.689,0,1,1,1,2,1,2,0,0,34.232,0,1,1,1,2,1,1,0,0,32.58,0,1,2,2,2,1,1,0,0,26.976,0,2,2,2,2,1,1
1170,0,0,25.146,0,1,1,2,2,1,1,0,0,35.09,0,2,2,1,1,1,1,0,0,26.772,0,2,2,2,2,1,1,0,0,41.162,0,2,1,2,2,1,2,0,0,33.934,0,1,1,2,2,1,1,0,0,46.878,0,1,2,2,2,2,1,0,0,41.908,0,2,2,2,2,1,1,0,0,37.095,0,1,1,1,2,1,2,34.177,68.34,69.391,3,1,2,1,1,2,1,0,0,27.471,0,1,2,2,2,1,1,0,0,43.929,0,1,1,1,2,1,2,0,0,37.433,0,1,1,1,2,1,1,0,0,36.719,0,1,2,2,2,2,1,31.682,33.587,37.602,2,2,2,2,2,1,1
997,0,0,28.535,0,1,1,2,2,1,2,0,0,23.329,0,2,1,2,1,2,1,0,0,20.237,0,2,2,2,2,1,1,0,0,34.558,0,2,1,2,1,1,2,0,0,34.6,0,1,1,1,2,1,2,0,0,45.702,0,1,2,2,2,2,1,0,0,33.63,0,2,2,2,2,2,2,0,0,31.881,0,1,1,1,2,1,2,0,0,79.97,0,1,1,1,1,1,2,0,0,23.338,0,2,2,2,2,1,1,0,0,25.336,0,1,1,1,2,1,2,0,0,32.359,0,1,1,1,2,1,1,0,0,28.144,0,1,2,2,2,1,1,0,0,24.69,0,1,2,2,2,1,2
639,0,0,19.758,0,1,2,2,2,1,2,0,0,20.464,0,2,2,1,1,2,2,0,0,12.735,0,2,2,2,2,1,2,0,0,22.431,0,1,2,1,2,1,1,0,0,21.024,0,1,1,1,1,2,2,0,0,30.833,0,1,2,2,2,2,1,0,0,20.317,0,2,2,2,2,2,1,0,0,29.114,0,1,1,1,2,1,2,24.901,24.901,52.714,1,1,1,1,1,2,2,0,0,11.641,0,2,2,2,2,1,2,0,0,21.933,0,1,1,1,2,1,1,0,0,19.329,0,1,1,1,2,1,1,0,0,20.689,0,1,2,2,2,1,1,0,0,15.099,0,2,2,2,2,1,1
1220,2.429,21.066,22.871,3,1,1,2,2,1,1,5.929,38.058,39.255,2,2,2,2,2,2,1,3.865,25.189,26.957,3,2,2,2,2,1,1,2.61,57.947,63.357,4,1,1,1,1,1,2,23.707,47.162,49.996,2,1,1,1,1,1,2,4.527,38.183,39.738,2,1,1,2,2,1,2,2.098,49.818,51.001,4,2,2,2,2,1,1,2.351,59.85,61.019,3,1,1,1,2,1,2,2.361,60.176,61.398,4,1,1,1,1,2,2,3.916,61.627,82.864,4,2,2,2,2,1,1,2.807,2.807,31.801,1,2,2,1,1,2,2,13.308,45.434,47.19,2,1,1,1,1,1,2,3.181,44.501,53.39,4,1,1,2,2,1,2,10.297,27.86,29.247,2,2,2,2,2,1,2
732,8.085,41.731,42.702,4,1,1,2,2,1,2,8.333,27.502,28.841,2,2,2,1,1,1,2,3.574,15.333,16.274,2,2,2,2,2,1,1,1.828,26.222,29.098,3,2,1,1,2,2,1,2.034,24.319,25.997,3,1,1,2,2,1,2,4.566,37.929,38.857,2,1,2,2,2,2,1,3.647,21.044,22.42,2,2,2,2,2,1,1,6.45,36.467,37.388,4,1,1,1,2,1,2,4.349,27.225,28.419,4,2,1,1,1,2,2,4.89,18.558,19.604,3,2,2,2,2,1,1,1.837,25.746,26.947,10,1,1,2,2,1,1,5.092,18.63,21.987,2,1,1,2,2,1,1,12.142,20.565,21.745,2,1,2,2,2,2,1,3.736,15.707,17.066,8,1,2,2,2,1,1
980,0,0,13,0,1,1,2,2,1,1,0,0,23.136,0,2,2,1,1,2,2,0,0,39.929,0,2,2,2,2,1,1,0,0,53.473,0,2,1,2,2,1,2,0,0,32.301,0,1,1,2,2,1,1,0,0,50.883,0,1,2,2,2,2,1,0,0,30.276,0,2,2,2,2,2,1,0,0,39.374,0,1,1,1,2,1,2,0,0,61.451,0,1,1,1,1,2,1,0,0,19.784,0,2,2,2,2,2,2,0,0,32.583,0,1,1,2,2,1,2,31.128,31.128,31.442,1,1,1,2,2,1,1,0,0,30.051,0,1,2,2,2,2,1,0,0,24.238,0,1,2,2,2,1,1
1104,0,0,28.277,0,1,1,2,2,1,1,0,0,36.065,0,2,2,2,2,2,2,0,0,21.497,0,2,2,2,2,2,1,0,0,43.01,0,1,1,1,1,2,2,0,0,27.729,0,1,1,1,1,1,1,0,0,50.31,0,1,1,1,1,1,1,8.086,8.086,66.753,1,2,2,2,2,2,1,0,0,47.018,0,1,1,1,2,1,2,0,0,111.952,0,1,1,1,2,2,1,0,0,27.4,0,1,1,2,2,2,1,0,0,52.582,0,2,2,2,2,2,1,0,0,22.088,0,1,1,1,2,2,1,0,0,24.518,0,1,2,2,2,1,1,0,0,45.869,0,2,2,2,2,1,1
1075,6.531,55.32,56.145,5,1,1,2,2,1,1,3.134,40.133,41.758,6,2,1,2,1,2,2,1.812,24.736,25.538,6,2,2,2,2,2,2,1.986,35.244,35.989,2,1,1,1,1,1,1,3.172,37.457,37.904,6,1,1,1,1,1,2,3.168,47.456,48.145,7,1,2,2,2,2,2,1.446,32.216,33.107,5,2,2,2,2,2,1,3.15,33.682,34.903,7,1,1,1,2,1,2,7.102,65.102,65.828,8,1,1,1,1,2,1,1.822,24.595,25.61,3,1,2,2,2,2,2,4.98,44.992,45.899,7,1,1,2,1,2,2,32.856,32.856,33.802,1,1,1,1,2,1,2,4.974,33.411,34.25,6,1,1,2,2,1,2,14.108,26.832,30.524,13,2,2,2,2,2,2
922,4.16,4.16,82.815,1,1,1,2,1,1,1,23.132,23.132,24.617,1,2,2,2,2,2,2,47.199,47.199,48.505,1,2,2,2,2,2,2,0,0,28.077,0,2,1,1,2,1,2,0,0,29.876,0,1,1,1,1,1,1,0,0,35.333,0,1,2,1,2,2,1,0,0,41.539,0,2,2,2,2,2,2,0,0,53.826,0,1,1,1,2,1,2,0,0,49.865,0,1,1,1,1,1,1,0,0,18.453,0,2,2,2,2,1,1,0,0,28.157,0,2,2,2,2,1,1,0,0,32.633,0,1,1,1,1,1,1,0,0,28.759,0,1,1,1,1,1,1,0,0,19.492,0,1,2,2,2,1,1
798,0,0,20.453,0,1,1,2,2,1,1,0,0,26.141,0,2,2,1,1,1,1,0,0,18.803,0,2,2,2,2,1,1,0,0,31.223,0,1,2,1,2,1,2,0,0,57.301,0,1,1,2,2,1,1,0,0,35.566,0,2,2,2,2,1,2,0,0,30.279,0,2,2,2,2,2,1,0,0,25.46,0,1,1,1,2,1,2,0,0,43.257,0,1,2,1,2,2,1,0,0,15.016,0,2,2,2,2,1,1,0,0,26.528,0,1,1,2,2,1,2,0,0,23.207,0,1,2,2,2,1,1,0,0,24.593,0,1,2,2,2,1,2,0,0,17.326,0,2,2,2,2,1,1
915,0,0,19.82,0,1,1,2,2,1,2,0,0,33.164,0,2,2,2,2,2,1,0,0,51.252,0,2,2,2,2,2,2,0,0,43.294,0,2,1,2,2,2,1,0,0,32.685,0,1,1,2,2,1,1,0,0,44.5,0,1,1,2,2,1,1,0,0,30.394,0,2,2,2,2,1,1,0,0,35.471,0,1,1,1,2,1,2,0,0,66.49,0,1,1,1,1,1,1,0,0,32.309,0,1,1,1,1,1,1,0,0,36.613,0,1,1,1,1,1,2,0,0,36.958,0,1,1,1,1,1,1,0,0,32.918,0,1,1,2,2,1,1,0,0,27.329,0,2,2,2,2,1,1
727,0,0,29.645,0,1,1,2,2,1,2,9.475,9.475,29.536,1,2,2,1,2,2,1,0,0,20.964,0,2,2,2,2,1,1,6.614,6.614,29.451,1,2,1,2,2,1,2,0,0,37.828,0,1,1,2,2,2,1,0,0,38.37,0,1,2,2,2,2,1,0,0,27.885,0,2,2,2,2,1,1,5.895,5.895,28.392,1,1,1,1,2,1,2,0,0,19.659,0,1,2,1,2,1,1,0,0,16.404,0,1,2,2,2,1,1,0,0,30.749,0,1,1,2,2,1,2,0,0,23.225,0,1,1,1,2,1,1,0,0,25.773,0,1,2,2,2,1,1,0,0,16.936,0,1,2,2,2,1,1
684,0,0,22.844,0,1,1,2,2,1,2,0,0,26.207,0,2,2,1,1,2,1,0,0,20.943,0,2,2,2,2,1,1,0,0,33.285,0,1,1,1,1,1,1,0,0,33.152,0,1,1,1,2,1,1,0,0,41.441,0,1,2,2,2,2,1,0,0,31.345,0,2,2,2,2,2,1,0,0,31.287,0,1,1,1,2,1,2,0,0,61.698,0,1,1,1,1,2,1,0,0,20.73,0,2,2,2,2,1,1,0,0,33.484,0,1,1,1,2,1,2,0,0,29.574,0,1,1,1,2,1,1,0,0,29.909,0,1,2,2,2,1,1,0,0,28.42,0,1,2,2,2,1,1
838,4.795,18.645,19.909,2,1,1,2,2,1,1,7.174,31.011,32.201,2,2,2,1,1,1,1,2.944,21.507,22.773,2,2,2,2,2,1,1,2.069,34.145,35.301,2,2,1,1,2,1,2,3.78,34.75,36.002,2,1,1,2,2,1,1,6.831,43.387,44.542,2,1,2,2,2,2,1,2.773,32.077,33.391,2,2,2,2,2,1,1,2.779,32.268,33.398,2,1,1,1,2,1,2,1.883,59.848,61.07,2,1,1,1,1,2,1,1.642,21.077,22.28,2,2,2,2,2,1,2,1.853,31.708,33.089,3,1,1,2,2,2,2,2.02,30.295,31.41,2,1,1,2,2,1,1,1.675,31.607,32.827,3,1,2,2,2,2,1,1.84,26.242,27.832,3,2,2,2,2,1,1
941,0,0,38.83,0,1,1,2,2,1,1,0,0,27.432,0,2,2,2,1,1,1,0,0,22.095,0,2,2,2,2,1,1,0,0,32.801,0,1,1,1,1,1,2,0,0,32.606,0,1,1,1,2,1,1,0,0,46.173,0,1,2,2,2,2,1,7.489,7.489,37.185,1,2,2,2,2,1,1,0,0,34.15,0,1,1,1,2,1,2,0,0,63.519,0,1,1,1,1,2,1,0,0,27.268,0,2,2,2,2,1,1,0,0,39.552,0,1,1,1,2,1,2,0,0,57.103,0,1,1,1,2,1,1,0,0,33.497,0,1,2,2,2,2,1,0,0,25.899,0,1,2,2,2,1,1
913,0,0,15.849,0,1,1,2,2,1,1,0,0,29.745,0,1,1,1,1,1,2,0,0,19.933,0,2,2,2,2,1,1,34.886,34.886,35.492,1,2,1,2,1,1,2,0,0,36.744,0,1,1,1,1,1,2,0,0,44.627,0,1,2,2,2,1,1,0,0,32.299,0,2,2,2,2,1,1,0,0,32.794,0,1,1,1,2,1,2,0,0,66.023,0,1,1,1,1,2,1,0,0,22.804,0,2,2,2,2,1,1,35.5,35.5,36.077,1,1,1,1,2,1,2,0,0,39.446,0,1,1,1,1,1,1,0,0,34.608,0,1,2,2,2,1,1,0,0,25.335,0,2,2,2,2,1,2
844,0,0,16.237,0,1,1,2,2,1,1,0,0,24.35,0,2,2,2,1,1,1,0,0,15.901,0,2,2,2,2,1,1,0,0,25.475,0,2,1,1,1,1,2,0,0,24.487,0,1,1,1,1,1,1,0,0,34.34,0,1,2,2,2,2,1,0,0,26.801,0,2,2,2,2,1,1,0,0,25.7,0,1,1,1,2,1,2,0,0,66.599,0,1,1,1,1,1,2,0,0,17.599,0,1,2,2,2,1,1,28.318,28.318,29.75,1,1,1,2,2,2,1,0,0,26.838,0,1,1,2,2,1,1,0,0,25.475,0,1,2,2,2,2,1,0,0,19.928,0,1,1,2,2,1,1
847,0,0,21.985,0,1,1,2,2,1,1,0,0,30.236,0,2,2,2,1,1,1,0,0,17.416,0,2,2,2,2,1,1,0,0,36.372,0,2,1,1,2,1,2,0,0,32.944,0,1,1,2,2,1,2,60.872,60.872,61.616,1,1,2,2,2,2,1,0,0,30.495,0,2,2,2,2,1,1,0,0,41.525,0,1,1,1,2,1,2,0,0,62.374,0,1,1,1,1,2,2,0,0,22.403,0,2,2,2,2,1,1,0,0,33.32,0,1,1,2,2,1,2,0,0,28.806,0,1,1,2,2,1,2,0,0,33.893,0,1,1,2,2,1,1,0,0,29.919,0,2,2,2,2,1,2
988,8.334,22.483,23.606,2,1,1,2,1,1,1,2.155,21.877,24.164,2,1,1,1,1,2,2,4.984,15.99,17.238,2,2,1,2,1,1,2,2.166,26.13,27.341,2,1,1,1,1,1,2,4.611,22.958,24.291,2,1,1,1,1,1,1,6.734,23.725,24.908,3,1,1,1,1,1,2,0,0,22.284,0,2,2,2,2,1,1,0,0,21.76,0,1,1,1,2,1,2,2.325,2.325,59.065,1,1,1,1,1,1,2,0,0,13.131,0,1,1,2,2,1,2,0,0,24.432,0,2,2,1,1,1,2,0,0,21.751,0,1,1,1,1,1,1,0,0,23.852,0,1,1,2,2,1,2,0,0,16.005,0,1,1,2,2,1,2
896,0,0,25.874,0,1,1,1,1,1,1,0,0,27.758,0,1,1,1,1,1,2,0,0,21.569,0,2,2,2,2,2,2,0,0,27.659,0,2,1,1,1,1,1,0,0,20.406,0,1,1,1,2,1,1,0,0,39.11,0,1,1,2,1,1,1,0,0,32.883,0,2,2,2,2,2,1,0,0,33.407,0,1,1,1,2,1,2,0,0,64.987,0,1,1,1,1,1,1,0,0,42.726,0,2,2,2,2,1,1,0,0,33.15,0,1,1,2,2,1,2,35.275,35.275,36.459,1,1,1,2,2,1,1,0,0,33.113,0,1,1,2,2,1,1,0,0,26.71,0,2,2,2,2,1,1
783,0,0,33.27,0,1,1,2,2,1,1,0,0,26.722,0,1,2,1,1,2,2,0,0,25.158,0,2,2,2,2,1,1,0,0,24.671,0,2,1,2,2,1,2,0,0,21.96,0,1,1,1,2,1,1,0,0,35.57,0,1,2,2,2,2,1,0,0,26.957,0,2,2,2,2,1,1,0,0,21.502,0,1,1,1,2,1,2,0,0,55.848,0,1,1,1,1,1,2,0,0,12.206,0,2,2,2,2,1,2,0,0,22.713,0,1,1,1,2,1,2,0,0,20.535,0,1,1,2,2,1,1,0,0,21.517,0,1,2,2,2,1,1,0,0,15.88,0,1,2,2,2,1,1
1095,0,0,25.566,0,1,1,2,2,1,1,0,0,30.062,0,2,2,1,1,1,1,0,0,23.615,0,2,2,2,2,1,2,0,0,36.229,0,2,2,2,2,1,2,0,0,57.939,0,1,1,1,2,1,1,0,0,42.017,0,2,2,2,2,1,1,0,0,35.101,0,2,2,2,2,1,1,0,0,25.644,0,1,1,1,2,1,2,0,0,67.423,0,1,1,1,1,2,2,0,0,39.937,0,2,2,2,2,2,2,0,0,37.508,0,1,1,2,2,2,2,0,0,29.23,0,1,1,1,2,1,1,0,0,34.416,0,2,2,2,2,2,1,0,0,28.235,0,2,2,2,2,1,1
992,0,0,25.299,0,1,2,2,2,2,2,0,0,32.747,0,1,1,1,1,1,2,0,0,22.096,0,2,2,2,2,1,1,0,0,30.951,0,1,1,1,1,1,2,0,0,35.202,0,1,1,1,1,1,1,0,0,39.629,0,1,1,2,2,1,1,0,0,44.231,0,1,1,1,1,1,1,0,0,32.258,0,1,1,1,2,1,2,0,0,66.648,0,1,2,1,1,2,1,0,0,22.978,0,2,2,2,2,1,1,0,0,35.185,0,1,1,2,2,1,2,0,0,69.163,0,1,1,1,2,1,1,0,0,32.615,0,1,2,2,2,2,1,0,0,24.501,0,2,2,2,2,1,1
1341,18.2,18.2,23.125,1,1,1,2,2,1,1,32.715,32.715,36.701,1,2,2,1,1,1,1,40.156,40.156,44.144,1,2,2,2,2,1,2,35.689,35.689,40.038,1,2,1,2,1,1,2,33.649,33.649,37.762,1,1,1,1,2,1,1,43.619,43.619,47.601,1,1,2,2,2,1,1,42.816,42.816,46.385,1,2,2,2,2,2,2,33.483,33.483,37.45,1,1,1,1,2,1,2,60.975,60.975,133.071,1,1,1,1,1,2,2,23.626,23.626,27.072,1,2,2,2,2,1,2,35.574,35.574,39.671,1,1,1,1,2,2,1,31.931,31.931,35.195,1,1,1,1,2,1,1,32.654,32.654,36.87,1,1,2,2,2,1,2,25.592,25.592,30.123,1,1,2,2,2,1,2
961,0,0,20.791,0,1,1,2,2,1,1,0,0,24.547,0,2,2,1,1,2,1,0,0,13.927,0,2,2,2,2,2,2,0,0,26.833,0,2,1,2,2,2,2,0,0,25.801,0,1,1,2,2,1,1,0,0,38.021,0,1,2,2,2,2,1,0,0,29.17,0,2,2,2,2,2,1,0,0,22.926,0,1,1,1,2,1,2,0,0,68.514,0,1,2,1,1,2,1,0,0,24.313,0,2,2,2,2,2,2,0,0,59.014,0,1,1,2,2,2,2,0,0,22.019,0,1,1,2,2,1,1,0,0,34.434,0,1,2,2,2,2,1,0,0,30.163,0,2,2,2,2,2,1
2031,0,0,55.625,0,1,1,2,2,1,1,0,0,72.205,0,2,2,1,1,2,2,0,0,45.14,0,2,2,2,2,1,1,0,0,58.699,0,2,2,2,2,1,2,0,0,46.894,0,1,1,1,1,1,2,0,0,41.17,0,1,1,2,2,1,2,0,0,72.526,0,2,1,2,2,1,1,0,0,65.841,0,1,1,1,2,1,2,0,0,93.125,0,1,1,1,1,2,2,0,0,86.469,0,2,2,2,2,1,1,0,0,43.855,0,1,1,2,2,1,2,0,0,37.527,0,1,1,2,2,1,1,0,0,58.472,0,1,1,2,2,1,2,0,0,73.774,0,1,2,2,2,1,1
762,0,0,16.442,0,1,1,2,2,1,1,0,0,19.227,0,2,2,1,1,2,1,0,0,9.16,0,2,2,2,2,1,1,0,0,31.554,0,2,1,1,2,1,2,0,0,28.737,0,1,1,1,2,1,1,0,0,31.186,0,1,2,2,2,1,1,0,0,23.233,0,2,2,2,2,1,2,0,0,23.974,0,1,1,1,2,1,2,0,0,18.583,0,1,1,1,1,1,1,0,0,14.097,0,2,2,2,2,1,1,0,0,22.468,0,1,1,1,2,1,1,0,0,19.809,0,1,1,1,2,1,1,0,0,20.165,0,1,2,2,2,1,1,0,0,14.927,0,2,2,2,2,1,1
1954,0,0,46.305,0,1,1,2,2,1,2,0,0,65.098,0,1,1,1,1,2,2,13.44,13.44,70.978,1,2,2,2,2,1,2,0,0,72.391,0,1,1,1,1,1,2,0,0,37.803,0,1,1,1,1,1,2,0,0,43.29,0,1,1,2,2,1,1,0,0,36.884,0,2,2,2,2,1,2,59.418,59.418,62.174,1,1,1,1,2,1,2,0,0,59.717,0,1,1,1,1,2,1,0,0,27.079,0,2,2,2,1,2,2,0,0,66.661,0,1,1,2,2,1,2,0,0,130.4,0,1,1,1,1,1,1,78.588,81.516,110.61,2,1,1,2,2,1,1,0,0,77.874,0,1,1,2,2,1,2
2397,0,0,35.129,0,1,1,1,2,2,1,0,0,34.681,0,2,1,1,2,2,1,0,0,642.754,0,1,2,1,1,2,1,0,0,43.767,0,1,2,2,1,1,2,0,0,40.593,0,1,2,1,1,2,1,79.481,79.481,81.989,1,1,1,2,2,1,2,0,0,65.203,0,1,2,1,1,1,2,0,0,42.98,0,2,1,1,2,1,2,0,0,64.716,0,2,2,1,1,2,1,0,0,44.523,0,1,1,2,1,1,1,0,0,47.633,0,2,1,1,2,1,1,0,0,48.572,0,1,1,2,1,1,2,0,0,30.573,0,1,2,1,1,1,2,0,0,32.169,0,1,2,1,1,2,2
847,0,0,15.851,0,1,1,2,2,1,1,19.037,19.037,29.504,1,2,2,1,1,1,1,0,0,13.675,0,2,2,2,2,2,2,0,0,37.79,0,2,2,1,2,2,2,0,0,30.425,0,1,1,1,2,1,1,0,0,44.074,0,1,2,2,2,1,1,0,0,42.762,0,2,2,2,2,2,1,0,0,23.393,0,1,1,1,2,1,2,0,0,65.474,0,1,1,1,1,2,1,0,0,16.112,0,2,2,2,2,2,2,0,0,25.331,0,1,1,2,2,2,1,0,0,19.17,0,1,1,1,2,1,1,0,0,22.146,0,1,2,2,2,1,2,0,0,15.427,0,1,2,2,2,1,1
922,0,0,34.855,0,1,1,2,2,1,2,0,0,36.726,0,2,2,2,2,2,2,0,0,15.36,0,2,2,2,2,1,1,0,0,35.127,0,1,1,2,1,1,2,0,0,25.759,0,1,1,2,2,1,2,0,0,35.158,0,1,2,2,2,1,1,0,0,26.155,0,2,2,2,2,1,1,0,0,24.112,0,1,1,1,2,1,2,0,0,20.119,0,1,1,2,1,2,2,0,0,13.366,0,2,2,2,2,1,1,0,0,26.359,0,2,2,2,2,1,2,0,0,23.866,0,2,2,2,2,2,1,0,0,24.052,0,1,1,2,2,1,1,0,0,17.95,0,2,2,2,2,1,1
726,3.611,22.197,23.097,2,1,1,2,2,1,2,4.015,33.409,34.199,3,2,2,1,1,1,1,1.319,15.326,17.803,2,2,2,2,2,1,1,3.068,31.132,32.344,2,2,1,1,2,1,2,2.371,30.87,33.019,2,1,1,2,2,1,1,2.391,46.872,47.748,2,1,2,2,2,2,1,2.838,23.388,26.006,2,2,2,2,2,1,1,1.359,22.961,24.872,2,1,1,1,2,1,2,1.457,54.783,56.842,3,1,1,1,1,1,1,1.792,17.366,18.415,2,2,2,2,2,1,1,1.427,25.043,28.613,3,1,1,2,2,1,2,1.587,21.554,26.356,2,1,1,2,2,1,1,1.498,27.176,28.373,2,1,2,2,2,2,1,1.61,21.262,22.039,3,1,2,2,2,1,1
696,0,0,23.412,0,1,1,2,2,1,1,0,0,29.8,0,2,2,1,1,2,2,0,0,17.315,0,2,2,2,2,1,1,0,0,27.257,0,2,1,2,2,1,1,0,0,22.355,0,1,1,2,2,1,1,0,0,33.075,0,1,2,2,2,1,1,0,0,25.611,0,2,2,2,2,1,1,0,0,21.5,0,1,1,1,2,1,2,0,0,52.691,0,1,1,1,2,2,1,0,0,15.737,0,2,2,2,2,1,1,0,0,25.191,0,1,1,2,2,1,2,0,0,19.437,0,1,1,2,2,1,1,0,0,21.179,0,1,2,2,2,2,1,0,0,16.373,0,2,2,2,2,1,1
889,0,0,17.663,0,1,1,2,2,1,1,0,0,25.612,0,2,2,1,1,2,2,0,0,35.871,0,2,2,2,2,1,1,0,0,25.321,0,2,1,1,2,1,2,0,0,33.093,0,1,1,1,1,1,1,0,0,45.208,0,1,2,2,2,1,1,0,0,31.52,0,2,2,2,2,2,1,0,0,31.143,0,1,1,1,2,1,2,0,0,63.865,0,1,1,1,1,2,1,0,0,22.994,0,2,2,2,2,1,1,0,0,34.179,0,1,2,2,2,1,2,0,0,44.349,0,1,1,2,2,1,1,0,0,30.811,0,1,2,2,2,1,1,0,0,25.072,0,2,2,2,2,1,1
974,2.008,25.407,28.147,2,1,1,2,2,1,1,1.435,30.903,33.573,2,2,2,1,1,2,2,1.04,37.157,39.811,2,2,2,2,2,1,1,1.235,35.283,38.139,2,2,1,2,2,1,2,1.063,34.346,36.718,2,1,1,1,2,1,1,1.219,43.568,46.04,2,1,1,2,2,1,2,1.13,31.629,34.083,2,2,2,2,2,1,1,0.966,31.714,34.052,2,1,1,1,2,1,2,1.134,62.182,64.687,2,1,1,1,2,2,1,1.207,21.873,24.262,2,2,2,2,2,1,1,1.205,24.388,26.96,2,1,1,1,2,1,2,1.029,29.435,32.269,2,1,1,1,2,1,1,1.082,21.914,24.787,2,1,2,2,2,2,2,2.458,26.659,30.631,2,2,2,2,2,1,1
1254,0,0,27.585,0,1,1,2,2,1,1,0,0,37.625,0,2,2,1,1,2,1,0,0,24.05,0,2,2,2,2,1,2,0,0,44.038,0,1,1,1,2,2,1,0,0,34.057,0,1,1,1,2,1,1,0,0,43.565,0,1,2,2,2,1,1,0,0,32.23,0,2,2,1,2,1,1,0,0,35.7,0,1,1,1,2,1,2,0,0,66.291,0,1,1,1,1,2,2,0,0,24.889,0,2,2,2,2,1,1,0,0,36.887,0,1,1,1,2,1,1,0,0,32.17,0,1,1,1,2,1,1,0,0,63.722,0,2,2,2,2,2,2,0,0,30.215,0,2,2,2,2,1,2
